sample_size,iteration,median_diff,hdi_width_85,hdi_width_90,hdi_width_95,likert_max_rhat,likert_n_divergent,cbcu_max_rhat,cbcu_n_divergent
50,1,0.21571918499999998,0.17082426029289763,0.19805023368089533,0.23986348182781358,1.005130487832421,0,1.0318811655797557,0
50,2,0.23935799499999993,0.14908986006282127,0.16967141076400735,0.20103088671423822,1.003722201752894,0,1.0114321800511776,0
50,3,0.18461709999999998,0.16168371034928852,0.1860938104149023,0.22323914006009338,1.0059788157713832,0,1.0095842567522055,0
50,4,0.23247022500000003,0.16174706007908815,0.1855141702890673,0.22237114044146727,1.0104856636091888,0,1.0224818878894173,0
50,5,0.314980835,0.1474032108917428,0.16984117039859153,0.2023954404081013,1.0051976080535567,0,1.0103473135226038,0
50,6,0.19566043000000005,0.16580341055980874,0.19075664045337365,0.22467396046815308,1.0107451527177056,0,1.009264021537025,0
50,7,0.378487745,0.1797864019039792,0.20255530030702057,0.24158166000168463,1.0072458337434396,0,1.0081955911915212,0
50,8,0.14215807999999996,0.16748096040455734,0.1887913100861198,0.22540126004737912,1.0078597503277391,0,1.0138481677940692,0
50,9,0.20711622000000002,0.15344996000153946,0.17585497107276357,0.2067503719455827,1.0036845349881145,0,1.0287888342498142,0
50,10,0.3072593,0.15586253043837953,0.17828423095918286,0.20981310135965134,1.0073492713516075,0,1.007041899412979,0
100,1,0.23503606,0.12747792026350016,0.14487021003870115,0.1728115860566691,1.0147009705325774,0,1.009899735151257,0
100,2,0.15827981500000005,0.10482637003309592,0.11996779006508042,0.14196485108926446,1.003597318245237,0,1.0194004082716026,0
100,3,0.17145251499999997,0.11048275013030968,0.12445478012567021,0.14933306054260548,1.0094514163064643,0,1.0080266344019764,0
100,4,0.204385635,0.10386600020797662,0.11858882004245547,0.14235255025243923,1.005177573627452,0,1.0166383349403774,0
100,5,0.18383101000000002,0.12227874070734349,0.13968372273818114,0.1630141510950171,1.0249444418406761,0,1.0222225348134981,0
100,6,0.216313445,0.12162447037116125,0.13797122108169899,0.164958420540664,1.0230629173805204,0,1.0506162743118883,0
100,7,0.23082774500000003,0.11301780010928461,0.128091320003783,0.15227666098802178,1.009934802016625,0,1.0348233852757176,0
100,8,0.15565978999999996,0.11463469016685947,0.13047809001782074,0.15519738000103644,1.005230993150973,0,1.0358551420829636,0
100,9,0.250707605,0.12510326015676318,0.14138116015085087,0.1669954701239823,1.01662973569761,0,1.0332767888717391,2
100,10,0.19884969999999996,0.11003707117794287,0.12550075054804033,0.15132974344665615,1.005002851800619,0,1.0201904793919059,0
200,1,0.256291805,0.08265002002117533,0.09504635011105056,0.1138142704608921,1.0143069771510367,0,1.0119545718857088,0
200,2,0.21724361999999997,0.08319468024132173,0.09290092024193639,0.11111217104198928,1.0254827493987184,0,1.0056901032518175,0
200,3,0.22790433499999996,0.08245042003195915,0.09534198041122216,0.11529565001562747,1.0134635709958209,0,1.1497497489388437,0
200,4,0.25577844,0.08453932018082733,0.09576387078572135,0.11484213000933566,1.03617558477612,0,1.0102719582866198,0
200,5,0.23548668,0.07941752022949408,0.0912914408689457,0.10844663153016681,1.0075521648831796,20,1.0410672418587554,0
200,6,0.19635524,0.08046930013415396,0.0921374800253873,0.10986520042227854,1.0152211263096869,0,1.0150490865518542,0
200,7,0.24734119,0.08553451002506934,0.09683751050648662,0.11565486090526125,1.0256318795652641,0,1.055320904365074,0
200,8,0.22029212000000004,0.07708539005294027,0.08874321001683813,0.10760210027257766,1.017217501890862,0,1.0140063450313306,0
200,9,0.30141996,0.0861185605014087,0.0985554402229265,0.11867722139335274,1.0261797158916575,0,1.0186670917239662,0
200,10,0.23015194499999997,0.07569471003341069,0.086117090338725,0.10426900039361917,1.0078175841000194,0,1.0643354557735178,0
500,1,0.25512714000000003,0.05174450054820828,0.05932893001504996,0.0697093901765099,1.0437545915204347,0,1.3309339854134459,16
500,2,0.21360434,0.051924520045624284,0.059416140000039946,0.07068942060248012,1.1045101905271588,0,1.0137892637402617,0
500,3,0.23274882000000002,0.04973922038669007,0.05693365018249852,0.06799508077775512,1.114604163897857,0,1.09628094858707,0
